
Namespace(e='4', ims='8', lr='0.000005', n=1, p=200, roi=1024, w=8, wd='0.001', wi=0) 2021-08-20 23:46:07.849677
Namespace(e='4', ims='8', lr='0.000005', n=1, p=200, roi=1024, w=8, wd='0.001', wi=0) 2021-08-21 13:34:45.156545
Namespace(e='6', ims='8', lr='0.000005', n=1, p=200, roi=1024, w=8, wd='0.001', wi=0) 2021-08-21 13:36:11.292030
Namespace(e='15', ims='2', lr='0.000001', n=1, p=200, roi=1024, w=8, wd='0.001', wi=0) 2021-08-23 01:59:54.971857
Namespace(e='15', ims='4', lr='0.000001', n=1, p=200, roi=1024, w=8, wd='0.001', wi=0) 2021-08-23 01:59:54.971903
Namespace(e='15', ims='4', lr='0.00001', n=1, p=200, roi=1024, w=8, wd='0.001', wi=0) 2021-08-23 13:26:53.178343
Namespace(e='15', ims='8', lr='0.00002', n=1, p=200, roi=1024, w=8, wd='0.00001', wi=0) 2021-08-23 13:55:04.064379
Namespace(e='15', ims='4', lr='0.00001', n=1, p=200, roi=1024, w=8, wd='0.001', wi=0) 2021-08-23 15:39:03.782524
Namespace(e='15', ims='8', lr='0.00002', n=1, p=200, roi=1024, w=8, wd='0.00001', wi=0) 2021-08-23 16:24:58.504633
Namespace(e='15', ims='8', lr='0.00002', n=1, p=200, roi=1024, w=8, wd='0.00001', wi=0) 2021-08-23 18:58:54.770835
Namespace(d='detectron2/output/lr2e_6_ims_8_wd_1e_2/', e='15', ims='8', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.01', wi=0) 2021-08-27 14:42:48.425875
Namespace(d='detectron2/output/lr2e_6_ims_8_wd_1e_2/', e='15', ims='4', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.01', wi=0) 2021-08-27 14:43:00.246469
Namespace(d='detectron2/output/lr2e_6_ims_8_wd_1e_2/', e='15', ims='8', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.01', wi=0) 2021-08-27 14:44:18.865491
Namespace(d='detectron2/output/lr2e_6_ims_2_wd_1e_4/', e='15', ims='2', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.0001', wi=0) 2021-08-27 14:46:36.898939
Namespace(d='detectron2/output/lr2e_6_ims_4_wd_1e_4/', e='15', ims='4', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.0001', wi=0) 2021-08-27 14:47:23.106247
Namespace(d='detectron2/output/lr2e_6_ims_8_wd_1e_4/', e='15', ims='8', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.0001', wi=0) 2021-08-27 14:49:39.993744
Namespace(d='detectron2/output/lr2e_6_ims_8_wd_1e_5/', e='15', ims='8', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.00001', wi=0) 2021-08-27 14:49:41.667855
Namespace(d='detectron2/output/lr2e_6_ims_4_wd_1e_5/', e='15', ims='4', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.00001', wi=0) 2021-08-27 17:12:50.018590
Namespace(d='detectron2/output/lr2e_6_ims_2_wd_1e_5/', e='15', ims='2', lr='0.000002', n=1, p=200, roi=1024, w=8, wd='0.00001', wi=0) 2021-08-27 17:12:51.235438
Namespace(d='detectron2/output/lr2e_5_ims_4_wd_1e_5/', e='15', ims='4', lr='0.00002', n=1, p=200, roi=1024, w=8, wd='0.00001', wi=0) 2021-08-27 17:12:54.448744
